course1,course2,risk,rr
cefixime12,cephalexin13,3.70 (1.82-7.16),2.70 (1.36-5.42)
cefixime12,cefixime8,3.70 (1.82-7.16),1.39 (1.23-1.55)
cefixime12,cephalexin11,3.70 (1.82-7.16),2.93 (1.48-5.90)
cefixime12,cephalexin14,3.70 (1.82-7.16),2.59 (1.31-5.20)
cefixime13,cloxacillin12,3.97 (1.91-7.79),3.02 (1.43-7.66)
cefixime13,ciprofloxacin7,3.97 (1.91-7.79),3.70 (1.74-7.37)
cefixime13,ciprofloxacin11,3.97 (1.91-7.79),3.18 (1.51-6.34)
cefixime13,cotrimoxazole5,3.97 (1.91-7.79),4.95 (2.33-10.16)
cefixime13,ciprofloxacin10,3.97 (1.91-7.79),3.29 (1.57-6.55)
cefixime13,ciprofloxacin14,3.97 (1.91-7.79),2.90 (1.38-5.83)
cefixime13,ciprofloxacin12,3.97 (1.91-7.79),3.08 (1.47-6.16)
cefixime13,ciprofloxacin9,3.97 (1.91-7.79),3.41 (1.63-6.79)
cefixime13,ciprofloxacin13,3.97 (1.91-7.79),2.99 (1.42-5.99)
cefixime13,cloxacillin13,3.97 (1.91-7.79),2.92 (1.37-7.51)
cefixime13,ciprofloxacin8,3.97 (1.91-7.79),3.55 (1.68-7.06)
cefixime13,cotrimoxazole11,3.97 (1.91-7.79),4.33 (2.04-9.01)
cefixime13,clarithromycin6,3.97 (1.91-7.79),5.60 (2.77-13.87)
cefixime13,cotrimoxazole6,3.97 (1.91-7.79),4.94 (2.33-10.12)
cefixime13,cotrimoxazole10,3.97 (1.91-7.79),4.40 (2.08-9.17)
cefixime13,clarithromycin5,3.97 (1.91-7.79),5.68 (2.82-13.99)
cefixime13,cefixime9,3.97 (1.91-7.79),1.36 (1.21-1.50)
cefixime13,cotrimoxazole9,3.97 (1.91-7.79),4.48 (2.11-9.32)
cefixime13,cotrimoxazole13,3.97 (1.91-7.79),4.20 (1.99-8.80)
cefixime13,cloxacillin14,3.97 (1.91-7.79),2.83 (1.31-7.36)
cefixime13,cotrimoxazole8,3.97 (1.91-7.79),4.58 (2.15-9.49)
cefixime13,cotrimoxazole12,3.97 (1.91-7.79),4.26 (2.02-8.90)
cefixime13,clarithromycin7,3.97 (1.91-7.79),5.32 (2.60-13.95)
cefixime13,cotrimoxazole7,3.97 (1.91-7.79),4.68 (2.20-9.75)
cefixime13,ciprofloxacin5,3.97 (1.91-7.79),4.08 (1.93-8.11)
cefixime13,norfloxacin10,3.97 (1.91-7.79),6.33 (2.95-15.88)
cefixime13,cefixime10,3.97 (1.91-7.79),1.25 (1.15-1.34)
cefixime13,moxifloxacin6,3.97 (1.91-7.79),2.51 (1.27-5.08)
cefixime13,cotrimoxazole14,3.97 (1.91-7.79),4.14 (1.97-8.74)
cefixime13,clarithromycin9,3.97 (1.91-7.79),5.01 (2.40-13.50)
cefixime13,none,3.97 (1.91-7.79),7.01 (3.36-13.91)
cefixime13,clindamycin10,3.97 (1.91-7.79),1.42 (0.64-2.95)
cefixime13,clarithromycin8,3.97 (1.91-7.79),5.16 (2.51-13.71)
cefixime13,cefixime12,3.97 (1.91-7.79),1.07 (1.04-1.10)
cefixime13,ciprofloxacin6,3.97 (1.91-7.79),4.05 (1.92-8.04)
cefixime13,norfloxacin11,3.97 (1.91-7.79),6.30 (2.91-15.95)
cefixime13,cefixime11,3.97 (1.91-7.79),1.15 (1.10-1.21)
cefixime13,moxifloxacin7,3.97 (1.91-7.79),2.07 (1.04-4.21)
cefixime13,levofloxacin5,3.97 (1.91-7.79),5.00 (2.44-10.70)
cefixime13,clarithromycin10,3.97 (1.91-7.79),4.87 (2.30-13.23)
cefixime13,amoxicillin5,3.97 (1.91-7.79),4.90 (2.45-10.35)
cefixime13,clindamycin11,3.97 (1.91-7.79),1.35 (0.61-2.83)
cefixime13,norfloxacin13,3.97 (1.91-7.79),6.23 (2.87-16.30)
cefixime13,cefixime13,3.97 (1.91-7.79),1.00 (1.00-1.00)
cefixime13,tetracycline14,3.97 (1.91-7.79),7.69 (3.73-20.84)
cefixime13,norfloxacin12,3.97 (1.91-7.79),6.26 (2.89-16.06)
cefixime13,clarithromycin12,3.97 (1.91-7.79),4.61 (2.11-13.13)
cefixime13,moxifloxacin8,3.97 (1.91-7.79),1.87 (0.94-3.83)
cefixime13,levofloxacin6,3.97 (1.91-7.79),4.91 (2.38-10.55)
cefixime13,clarithromycin11,3.97 (1.91-7.79),4.74 (2.20-13.18)
cefixime13,amoxicillin6,3.97 (1.91-7.79),4.87 (2.44-10.25)
cefixime13,clindamycin12,3.97 (1.91-7.79),1.28 (0.57-2.71)
cefixime13,norfloxacin14,3.97 (1.91-7.79),6.20 (2.85-16.41)
cefixime13,cefixime14,3.97 (1.91-7.79),0.94 (0.92-0.96)
cefixime13,trimethoprim5,3.97 (1.91-7.79),5.58 (2.06-14.93)
cefixime13,levofloxacin8,3.97 (1.91-7.79),4.34 (2.08-9.64)
cefixime13,clarithromycin13,3.97 (1.91-7.79),4.49 (2.01-13.07)
cefixime13,moxifloxacin9,3.97 (1.91-7.79),1.71 (0.86-3.54)
cefixime13,levofloxacin7,3.97 (1.91-7.79),4.54 (2.19-9.99)
cefixime13,tetracycline6,3.97 (1.91-7.79),7.42 (3.70-18.54)
cefixime13,amoxicillin7,3.97 (1.91-7.79),4.57 (2.28-9.73)
cefixime13,clindamycin13,3.97 (1.91-7.79),1.22 (0.55-2.59)
cefixime13,tetracycline5,3.97 (1.91-7.79),7.41 (3.69-18.46)
cefixime13,cefprozil5,3.97 (1.91-7.79),4.08 (1.79-9.56)
cefixime13,trimethoprim6,3.97 (1.91-7.79),5.61 (2.09-14.90)
cefixime13,levofloxacin9,3.97 (1.91-7.79),4.15 (2.00-9.32)
cefixime13,clarithromycin14,3.97 (1.91-7.79),4.37 (1.94-13.12)
cefixime13,moxifloxacin10,3.97 (1.91-7.79),1.57 (0.79-3.25)
cefixime13,cloxacillin5,3.97 (1.91-7.79),4.09 (2.03-9.25)
cefixime13,tetracycline7,3.97 (1.91-7.79),7.49 (3.72-19.30)
cefixime13,amoxicillin8,3.97 (1.91-7.79),4.44 (2.22-9.47)
cefixime13,clindamycin14,3.97 (1.91-7.79),1.18 (0.52-2.50)
cefixime13,levofloxacin11,3.97 (1.91-7.79),3.83 (1.85-8.73)
cefixime13,cefprozil6,3.97 (1.91-7.79),4.05 (1.78-9.56)
cefixime13,trimethoprim7,3.97 (1.91-7.79),5.43 (1.90-15.53)
cefixime13,levofloxacin10,3.97 (1.91-7.79),3.98 (1.94-9.07)
cefixime13,clindamycin5,3.97 (1.91-7.79),2.09 (0.97-4.21)
cefixime13,moxifloxacin11,3.97 (1.91-7.79),1.45 (0.72-2.99)
cefixime13,cloxacillin6,3.97 (1.91-7.79),4.05 (2.00-9.10)
cefixime13,tetracycline8,3.97 (1.91-7.79),7.53 (3.72-19.52)
cefixime13,amoxicillin9,3.97 (1.91-7.79),4.32 (2.16-9.16)
cefixime13,trimethoprim9,3.97 (1.91-7.79),5.34 (1.77-15.97)
cefixime13,levofloxacin12,3.97 (1.91-7.79),3.68 (1.76-8.47)
cefixime13,cefprozil7,3.97 (1.91-7.79),3.71 (1.59-9.02)
cefixime13,trimethoprim8,3.97 (1.91-7.79),5.38 (1.82-15.77)
cefixime13,cloxacillin8,3.97 (1.91-7.79),3.52 (1.71-8.32)
cefixime13,clindamycin6,3.97 (1.91-7.79),2.09 (0.97-4.20)
cefixime13,moxifloxacin12,3.97 (1.91-7.79),1.34 (0.67-2.78)
cefixime13,cloxacillin7,3.97 (1.91-7.79),3.69 (1.81-8.59)
cefixime13,tetracycline9,3.97 (1.91-7.79),7.56 (3.71-19.71)
cefixime13,amoxicillin10,3.97 (1.91-7.79),4.21 (2.10-9.00)
cefixime13,trimethoprim10,3.97 (1.91-7.79),5.32 (1.74-16.15)
cefixime13,levofloxacin13,3.97 (1.91-7.79),3.54 (1.67-8.22)
cefixime13,cefprozil8,3.97 (1.91-7.79),3.56 (1.52-8.87)
cefixime13,moxifloxacin14,3.97 (1.91-7.79),1.17 (0.58-2.46)
cefixime13,cloxacillin9,3.97 (1.91-7.79),3.38 (1.63-8.18)
cefixime13,clindamycin7,3.97 (1.91-7.79),1.74 (0.81-3.50)
cefixime13,moxifloxacin13,3.97 (1.91-7.79),1.25 (0.62-2.61)
cefixime13,trimethoprim12,3.97 (1.91-7.79),5.28 (1.68-16.26)
cefixime13,tetracycline10,3.97 (1.91-7.79),7.59 (3.71-19.93)
cefixime13,amoxicillin11,3.97 (1.91-7.79),4.11 (2.04-8.79)
cefixime13,trimethoprim11,3.97 (1.91-7.79),5.29 (1.70-16.24)
cefixime13,levofloxacin14,3.97 (1.91-7.79),3.42 (1.58-8.01)
cefixime13,cefprozil9,3.97 (1.91-7.79),3.43 (1.46-8.67)
cefixime13,nitrofurantoin5,3.97 (1.91-7.79),7.05 (3.41-15.43)
cefixime13,cloxacillin10,3.97 (1.91-7.79),3.25 (1.58-8.00)
cefixime13,clindamycin8,3.97 (1.91-7.79),1.61 (0.74-3.29)
cefixime13,amoxicillin13,3.97 (1.91-7.79),3.94 (1.94-8.40)
cefixime13,trimethoprim13,3.97 (1.91-7.79),5.27 (1.66-16.29)
cefixime13,tetracycline11,3.97 (1.91-7.79),7.61 (3.72-20.24)
cefixime13,amoxicillin12,3.97 (1.91-7.79),4.02 (1.99-8.59)
cefixime13,nitrofurantoin7,3.97 (1.91-7.79),7.01 (3.37-15.81)
cefixime13,moxifloxacin5,3.97 (1.91-7.79),2.59 (1.30-5.22)
cefixime13,cefprozil10,3.97 (1.91-7.79),3.31 (1.39-8.53)
cefixime13,nitrofurantoin6,3.97 (1.91-7.79),7.02 (3.40-15.43)
cefixime13,cloxacillin11,3.97 (1.91-7.79),3.13 (1.50-7.82)
cefixime13,clindamycin9,3.97 (1.91-7.79),1.51 (0.68-3.11)
cefixime13,amoxicillin14,3.97 (1.91-7.79),3.85 (1.90-8.27)
cefixime13,trimethoprim14,3.97 (1.91-7.79),5.26 (1.65-16.32)
cefixime13,tetracycline12,3.97 (1.91-7.79),7.64 (3.72-20.52)
cefixime13,cefprozil12,3.97 (1.91-7.79),3.12 (1.29-8.28)
cefixime13,nitrofurantoin8,3.97 (1.91-7.79),6.98 (3.36-15.84)
cefixime13,cefuroxime13,3.97 (1.91-7.79),1.82 (0.87-4.49)
cefixime13,cefprozil11,3.97 (1.91-7.79),3.21 (1.34-8.44)
cefixime13,amoxiclav6,3.97 (1.91-7.79),3.27 (1.57-6.68)
cefixime13,nitrofurantoin11,3.97 (1.91-7.79),6.91 (3.33-15.76)
cefixime13,azithromycin7,3.97 (1.91-7.79),3.26 (1.52-6.87)
cefixime13,amoxiclav5,3.97 (1.91-7.79),3.30 (1.59-6.70)
cefixime13,nitrofurantoin10,3.97 (1.91-7.79),6.93 (3.34-15.80)
cefixime13,tetracycline13,3.97 (1.91-7.79),7.67 (3.72-20.78)
cefixime13,cefprozil13,3.97 (1.91-7.79),3.03 (1.24-8.16)
cefixime13,nitrofurantoin9,3.97 (1.91-7.79),6.96 (3.35-15.83)
cefixime13,cefuroxime14,3.97 (1.91-7.79),1.71 (0.81-4.25)
cefixime13,azithromycin9,3.97 (1.91-7.79),3.00 (1.41-6.45)
cefixime13,amoxiclav7,3.97 (1.91-7.79),2.89 (1.40-6.00)
cefixime13,nitrofurantoin12,3.97 (1.91-7.79),6.88 (3.31-15.72)
cefixime13,azithromycin8,3.97 (1.91-7.79),3.12 (1.46-6.66)
cefixime13,cefuroxime5,3.97 (1.91-7.79),3.46 (1.74-7.78)
cefixime13,amoxiclav10,3.97 (1.91-7.79),2.47 (1.19-5.17)
cefixime13,cephalexin6,3.97 (1.91-7.79),4.18 (2.06-8.34)
cefixime13,cefprozil14,3.97 (1.91-7.79),2.95 (1.19-8.15)
cefixime13,amoxiclav9,3.97 (1.91-7.79),2.59 (1.25-5.41)
cefixime13,cephalexin5,3.97 (1.91-7.79),4.25 (2.09-8.55)
cefixime13,azithromycin10,3.97 (1.91-7.79),2.90 (1.36-6.26)
cefixime13,amoxiclav8,3.97 (1.91-7.79),2.73 (1.32-5.63)
cefixime13,nitrofurantoin13,3.97 (1.91-7.79),6.85 (3.30-15.69)
cefixime13,cephalexin8,3.97 (1.91-7.79),3.60 (1.79-7.30)
cefixime13,cefuroxime6,3.97 (1.91-7.79),3.35 (1.68-7.55)
cefixime13,amoxiclav11,3.97 (1.91-7.79),2.37 (1.13-4.95)
cefixime13,cephalexin7,3.97 (1.91-7.79),3.79 (1.88-7.64)
cefixime13,azithromycin12,3.97 (1.91-7.79),2.72 (1.29-5.93)
cefixime13,cefuroxime9,3.97 (1.91-7.79),2.42 (1.18-5.70)
cefixime13,norfloxacin5,3.97 (1.91-7.79),6.54 (3.17-15.15)
cefixime13,azithromycin11,3.97 (1.91-7.79),2.81 (1.32-6.07)
cefixime13,cefuroxime8,3.97 (1.91-7.79),2.62 (1.27-6.09)
cefixime13,nitrofurantoin14,3.97 (1.91-7.79),6.82 (3.28-15.64)
cefixime13,cephalexin9,3.97 (1.91-7.79),3.43 (1.71-7.00)
cefixime13,cefuroxime7,3.97 (1.91-7.79),2.86 (1.41-6.52)
cefixime13,amoxiclav12,3.97 (1.91-7.79),2.27 (1.08-4.77)
cefixime13,norfloxacin7,3.97 (1.91-7.79),6.45 (3.12-15.49)
cefixime13,azithromycin13,3.97 (1.91-7.79),2.65 (1.25-5.79)
cefixime13,cefuroxime10,3.97 (1.91-7.79),2.24 (1.09-5.39)
cefixime13,norfloxacin6,3.97 (1.91-7.79),6.53 (3.15-15.08)
cefixime13,cephalexin11,3.97 (1.91-7.79),3.14 (1.56-6.42)
cefixime13,cefixime6,3.97 (1.91-7.79),2.03 (1.58-2.57)
cefixime13,amoxiclav14,3.97 (1.91-7.79),2.11 (0.99-4.48)
cefixime13,cephalexin10,3.97 (1.91-7.79),3.28 (1.63-6.71)
cefixime13,cefixime5,3.97 (1.91-7.79),2.08 (1.61-2.66)
cefixime13,amoxiclav13,3.97 (1.91-7.79),2.19 (1.04-4.61)
cefixime13,norfloxacin8,3.97 (1.91-7.79),6.41 (3.06-15.70)
cefixime13,azithromycin14,3.97 (1.91-7.79),2.58 (1.22-5.63)
cefixime13,cefuroxime11,3.97 (1.91-7.79),2.08 (1.00-5.02)
cefixime13,azithromycin6,3.97 (1.91-7.79),3.62 (1.72-7.44)
cefixime13,cephalexin12,3.97 (1.91-7.79),3.01 (1.49-6.15)
cefixime13,cefixime7,3.97 (1.91-7.79),1.65 (1.37-1.94)
cefixime13,azithromycin5,3.97 (1.91-7.79),3.63 (1.71-7.46)
cefixime13,cephalexin14,3.97 (1.91-7.79),2.78 (1.38-5.67)
cefixime13,cefuroxime12,3.97 (1.91-7.79),1.94 (0.93-4.74)
cefixime13,norfloxacin9,3.97 (1.91-7.79),6.37 (3.01-16.00)
cefixime13,cefixime8,3.97 (1.91-7.79),1.49 (1.29-1.70)
cefixime13,cephalexin13,3.97 (1.91-7.79),2.89 (1.43-5.90)
cefixime14,none,4.24 (2.01-8.39),7.49 (3.52-15.04)
cefixime14,cefixime9,4.24 (2.01-8.39),1.45 (1.27-1.63)
cefixime14,ciprofloxacin6,4.24 (2.01-8.39),4.33 (2.00-8.68)
cefixime14,cefprozil11,4.24 (2.01-8.39),3.43 (1.40-9.08)
cefixime14,ciprofloxacin5,4.24 (2.01-8.39),4.36 (2.01-8.75)
cefixime14,cefprozil12,4.24 (2.01-8.39),3.33 (1.35-8.97)
cefixime14,cefixime10,4.24 (2.01-8.39),1.33 (1.20-1.46)
cefixime14,amoxicillin5,4.24 (2.01-8.39),5.23 (2.57-11.13)
cefixime14,ciprofloxacin8,4.24 (2.01-8.39),3.79 (1.77-7.60)
cefixime14,amoxiclav6,4.24 (2.01-8.39),3.49 (1.65-7.29)
cefixime14,cefixime13,4.24 (2.01-8.39),1.07 (1.04-1.09)
cefixime14,ciprofloxacin7,4.24 (2.01-8.39),3.95 (1.83-7.93)
cefixime14,amoxiclav5,4.24 (2.01-8.39),3.53 (1.66-7.34)
cefixime14,cefixime12,4.24 (2.01-8.39),1.15 (1.09-1.19)
cefixime14,amoxicillin7,4.24 (2.01-8.39),4.89 (2.38-10.50)
cefixime14,cefprozil13,4.24 (2.01-8.39),3.24 (1.31-8.79)
cefixime14,cefixime11,4.24 (2.01-8.39),1.23 (1.14-1.32)
cefixime14,amoxicillin6,4.24 (2.01-8.39),5.20 (2.55-11.02)
cefixime14,ciprofloxacin9,4.24 (2.01-8.39),3.64 (1.71-7.31)
cefixime14,amoxiclav7,4.24 (2.01-8.39),3.09 (1.47-6.47)
cefixime14,cefixime14,4.24 (2.01-8.39),1.00 (1.00-1.00)
cefixime14,amoxicillin9,4.24 (2.01-8.39),4.62 (2.24-9.92)
cefixime14,cefuroxime5,4.24 (2.01-8.39),3.70 (1.81-8.43)
cefixime14,amoxiclav10,4.24 (2.01-8.39),2.64 (1.24-5.62)
cefixime14,amoxicillin8,4.24 (2.01-8.39),4.74 (2.30-10.21)
cefixime14,cefprozil14,4.24 (2.01-8.39),3.15 (1.26-8.72)
cefixime14,amoxiclav9,4.24 (2.01-8.39),2.77 (1.31-5.87)
cefixime14,cefprozil6,4.24 (2.01-8.39),4.33 (1.88-10.23)
cefixime14,ciprofloxacin10,4.24 (2.01-8.39),3.51 (1.65-7.06)
cefixime14,amoxiclav8,4.24 (2.01-8.39),2.92 (1.39-6.15)
cefixime14,cefprozil5,4.24 (2.01-8.39),4.36 (1.90-10.29)
cefixime14,amoxicillin10,4.24 (2.01-8.39),4.50 (2.19-9.68)
cefixime14,cefuroxime6,4.24 (2.01-8.39),3.58 (1.75-8.16)
cefixime14,amoxiclav11,4.24 (2.01-8.39),2.53 (1.18-5.40)
cefixime14,cefprozil8,4.24 (2.01-8.39),3.80 (1.59-9.49)
cefixime14,ciprofloxacin12,4.24 (2.01-8.39),3.29 (1.54-6.60)
cefixime14,cefuroxime9,4.24 (2.01-8.39),2.58 (1.21-6.15)
cefixime14,cefprozil7,4.24 (2.01-8.39),3.96 (1.67-9.70)
cefixime14,ciprofloxacin11,4.24 (2.01-8.39),3.40 (1.59-6.83)
cefixime14,cefuroxime8,4.24 (2.01-8.39),2.80 (1.34-6.56)
cefixime14,amoxiclav13,4.24 (2.01-8.39),2.33 (1.09-5.02)
cefixime14,amoxicillin11,4.24 (2.01-8.39),4.39 (2.15-9.46)
cefixime14,cefuroxime7,4.24 (2.01-8.39),3.05 (1.48-7.05)
cefixime14,amoxiclav12,4.24 (2.01-8.39),2.43 (1.14-5.20)
cefixime14,cefprozil9,4.24 (2.01-8.39),3.66 (1.54-9.36)
cefixime14,ciprofloxacin13,4.24 (2.01-8.39),3.19 (1.49-6.43)
cefixime14,cefuroxime10,4.24 (2.01-8.39),2.39 (1.14-5.79)
cefixime14,azithromycin5,4.24 (2.01-8.39),3.88 (1.81-8.12)
cefixime14,amoxicillin13,4.24 (2.01-8.39),4.20 (2.03-9.04)
cefixime14,clarithromycin6,4.24 (2.01-8.39),5.99 (2.90-15.08)
cefixime14,amoxiclav14,4.24 (2.01-8.39),2.25 (1.05-4.86)
cefixime14,amoxicillin12,4.24 (2.01-8.39),4.30 (2.09-9.24)
cefixime14,clarithromycin5,4.24 (2.01-8.39),6.07 (2.95-15.19)
cefixime14,cefuroxime12,4.24 (2.01-8.39),2.08 (0.98-5.11)
cefixime14,cefprozil10,4.24 (2.01-8.39),3.54 (1.46-9.22)
cefixime14,ciprofloxacin14,4.24 (2.01-8.39),3.10 (1.44-6.26)
cefixime14,cefuroxime11,4.24 (2.01-8.39),2.22 (1.06-5.45)
cefixime14,azithromycin6,4.24 (2.01-8.39),3.86 (1.81-8.06)
cefixime14,amoxicillin14,4.24 (2.01-8.39),4.12 (1.98-8.91)
cefixime14,clarithromycin7,4.24 (2.01-8.39),5.69 (2.73-14.97)
cefixime14,tetracycline12,4.24 (2.01-8.39),8.16 (3.93-22.20)
cefixime14,norfloxacin10,4.24 (2.01-8.39),6.76 (3.08-16.99)
cefixime14,nitrofurantoin8,4.24 (2.01-8.39),7.46 (3.52-17.18)
cefixime14,cefuroxime13,4.24 (2.01-8.39),1.94 (0.91-4.88)
cefixime14,moxifloxacin6,4.24 (2.01-8.39),2.68 (1.32-5.51)
cefixime14,cotrimoxazole14,4.24 (2.01-8.39),4.43 (2.06-9.44)
cefixime14,cloxacillin12,4.24 (2.01-8.39),3.23 (1.51-8.23)
cefixime14,azithromycin7,4.24 (2.01-8.39),3.49 (1.62-7.45)
cefixime14,clindamycin10,4.24 (2.01-8.39),1.52 (0.68-3.19)
cefixime14,clarithromycin8,4.24 (2.01-8.39),5.52 (2.63-14.73)
cefixime14,tetracycline13,4.24 (2.01-8.39),8.19 (3.94-22.31)
cefixime14,norfloxacin11,4.24 (2.01-8.39),6.73 (3.05-17.05)
cefixime14,nitrofurantoin9,4.24 (2.01-8.39),7.43 (3.52-17.17)
cefixime14,cefuroxime14,4.24 (2.01-8.39),1.82 (0.85-4.61)
cefixime14,moxifloxacin7,4.24 (2.01-8.39),2.21 (1.10-4.56)
cefixime14,levofloxacin5,4.24 (2.01-8.39),5.35 (2.57-11.53)
cefixime14,cloxacillin13,4.24 (2.01-8.39),3.12 (1.44-8.08)
cefixime14,azithromycin8,4.24 (2.01-8.39),3.34 (1.54-7.18)
cefixime14,clindamycin11,4.24 (2.01-8.39),1.44 (0.63-3.04)
cefixime14,clarithromycin9,4.24 (2.01-8.39),5.35 (2.53-14.50)
cefixime14,tetracycline14,4.24 (2.01-8.39),8.21 (3.95-22.46)
cefixime14,norfloxacin12,4.24 (2.01-8.39),6.69 (3.03-17.23)
cefixime14,nitrofurantoin10,4.24 (2.01-8.39),7.41 (3.51-17.14)
cefixime14,cephalexin5,4.24 (2.01-8.39),4.54 (2.18-9.24)
cefixime14,moxifloxacin8,4.24 (2.01-8.39),2.00 (1.00-4.14)
cefixime14,levofloxacin6,4.24 (2.01-8.39),5.25 (2.49-11.36)
cefixime14,cloxacillin14,4.24 (2.01-8.39),3.03 (1.37-7.91)
cefixime14,azithromycin9,4.24 (2.01-8.39),3.21 (1.48-6.97)
cefixime14,clindamycin12,4.24 (2.01-8.39),1.37 (0.60-2.92)
cefixime14,clarithromycin10,4.24 (2.01-8.39),5.20 (2.44-14.32)
cefixime14,trimethoprim5,4.24 (2.01-8.39),5.96 (2.17-16.02)
cefixime14,norfloxacin13,4.24 (2.01-8.39),6.66 (3.00-17.42)
cefixime14,nitrofurantoin11,4.24 (2.01-8.39),7.38 (3.49-17.10)
cefixime14,cephalexin6,4.24 (2.01-8.39),4.47 (2.14-9.08)
cefixime14,moxifloxacin9,4.24 (2.01-8.39),1.83 (0.91-3.82)
cefixime14,levofloxacin7,4.24 (2.01-8.39),4.85 (2.30-10.73)
cefixime14,cotrimoxazole5,4.24 (2.01-8.39),5.29 (2.43-11.05)
cefixime14,azithromycin10,4.24 (2.01-8.39),3.10 (1.43-6.76)
cefixime14,clindamycin13,4.24 (2.01-8.39),1.31 (0.57-2.81)
cefixime14,clarithromycin11,4.24 (2.01-8.39),5.06 (2.33-14.16)
cefixime14,trimethoprim6,4.24 (2.01-8.39),5.99 (2.19-16.09)
cefixime14,norfloxacin14,4.24 (2.01-8.39),6.62 (2.98-17.65)
cefixime14,nitrofurantoin12,4.24 (2.01-8.39),7.35 (3.47-16.99)
cefixime14,cephalexin7,4.24 (2.01-8.39),4.05 (1.96-8.25)
cefixime14,moxifloxacin10,4.24 (2.01-8.39),1.68 (0.83-3.49)
cefixime14,levofloxacin8,4.24 (2.01-8.39),4.63 (2.19-10.37)
cefixime14,cotrimoxazole6,4.24 (2.01-8.39),5.28 (2.43-10.98)
cefixime14,azithromycin11,4.24 (2.01-8.39),3.00 (1.39-6.58)
cefixime14,clindamycin14,4.24 (2.01-8.39),1.26 (0.55-2.71)
cefixime14,clarithromycin12,4.24 (2.01-8.39),4.92 (2.24-14.01)
cefixime14,trimethoprim7,4.24 (2.01-8.39),5.80 (1.98-16.66)
cefixime14,tetracycline5,4.24 (2.01-8.39),7.92 (3.87-19.94)
cefixime14,nitrofurantoin13,4.24 (2.01-8.39),7.32 (3.42-16.90)
cefixime14,cephalexin8,4.24 (2.01-8.39),3.85 (1.87-7.86)
cefixime14,moxifloxacin11,4.24 (2.01-8.39),1.55 (0.76-3.24)
cefixime14,levofloxacin9,4.24 (2.01-8.39),4.44 (2.08-10.10)
cefixime14,cotrimoxazole7,4.24 (2.01-8.39),5.00 (2.29-10.54)
cefixime14,azithromycin12,4.24 (2.01-8.39),2.91 (1.35-6.41)
cefixime14,cloxacillin5,4.24 (2.01-8.39),4.37 (2.14-9.91)
cefixime14,clarithromycin13,4.24 (2.01-8.39),4.79 (2.14-13.95)
cefixime14,trimethoprim8,4.24 (2.01-8.39),5.75 (1.92-16.92)
cefixime14,tetracycline6,4.24 (2.01-8.39),7.93 (3.89-19.87)
cefixime14,nitrofurantoin14,4.24 (2.01-8.39),7.29 (3.41-16.75)
cefixime14,cephalexin9,4.24 (2.01-8.39),3.66 (1.78-7.48)
cefixime14,moxifloxacin12,4.24 (2.01-8.39),1.43 (0.70-3.03)
cefixime14,levofloxacin10,4.24 (2.01-8.39),4.26 (2.01-9.72)
cefixime14,cotrimoxazole8,4.24 (2.01-8.39),4.89 (2.24-10.31)
cefixime14,azithromycin13,4.24 (2.01-8.39),2.83 (1.31-6.27)
cefixime14,cloxacillin6,4.24 (2.01-8.39),4.33 (2.10-9.80)
cefixime14,clarithromycin14,4.24 (2.01-8.39),4.67 (2.05-13.97)
cefixime14,trimethoprim9,4.24 (2.01-8.39),5.71 (1.87-17.14)
cefixime14,tetracycline7,4.24 (2.01-8.39),8.00 (3.90-20.70)
cefixime14,norfloxacin5,4.24 (2.01-8.39),6.99 (3.27-16.39)
cefixime14,cephalexin10,4.24 (2.01-8.39),3.50 (1.70-7.18)
cefixime14,moxifloxacin13,4.24 (2.01-8.39),1.33 (0.65-2.84)
cefixime14,levofloxacin11,4.24 (2.01-8.39),4.09 (1.94-9.44)
cefixime14,cotrimoxazole9,4.24 (2.01-8.39),4.79 (2.21-10.11)
cefixime14,azithromycin14,4.24 (2.01-8.39),2.76 (1.28-6.12)
cefixime14,cloxacillin7,4.24 (2.01-8.39),3.94 (1.88-9.25)
cefixime14,clindamycin5,4.24 (2.01-8.39),2.23 (1.02-4.57)
cefixime14,trimethoprim10,4.24 (2.01-8.39),5.68 (1.83-17.32)
cefixime14,tetracycline8,4.24 (2.01-8.39),8.04 (3.91-20.95)
cefixime14,norfloxacin6,4.24 (2.01-8.39),6.98 (3.25-16.30)
cefixime14,cephalexin11,4.24 (2.01-8.39),3.35 (1.63-6.91)
cefixime14,moxifloxacin14,4.24 (2.01-8.39),1.25 (0.61-2.67)
cefixime14,levofloxacin12,4.24 (2.01-8.39),3.93 (1.86-9.13)
cefixime14,cotrimoxazole10,4.24 (2.01-8.39),4.70 (2.17-9.97)
cefixime14,cefixime5,4.24 (2.01-8.39),2.22 (1.68-2.90)
cefixime14,cloxacillin8,4.24 (2.01-8.39),3.76 (1.79-8.98)
cefixime14,clindamycin6,4.24 (2.01-8.39),2.23 (1.02-4.55)
cefixime14,trimethoprim11,4.24 (2.01-8.39),5.65 (1.80-17.49)
cefixime14,tetracycline9,4.24 (2.01-8.39),8.07 (3.91-21.30)
cefixime14,norfloxacin7,4.24 (2.01-8.39),6.89 (3.24-16.75)
cefixime14,cephalexin12,4.24 (2.01-8.39),3.21 (1.57-6.65)
cefixime14,nitrofurantoin5,4.24 (2.01-8.39),7.53 (3.55-16.65)
cefixime14,levofloxacin13,4.24 (2.01-8.39),3.79 (1.76-8.87)
